date,ret_1d,ret_2d,ret_5d,ret_10d,ret_21d,rsi,macd,atr,stoch,ultosc,pe,pb,ps,evebitda,marketcap_log,roe,roa,debt_equity,revenue_growth,fcf_yield,close
2022-02-23,0.04845942,-0.01752875,0.01880707,-0.05367833,-0.01894468,48.6387,-3.66880709,17.569047,-17.6962,15.5071,,,,,,,,,,,422.05
2022-02-24,-0.03186589,0.01504932,-0.05910839,-0.0409778,-0.09358903,46.3977,-4.17087785,17.6084,-16.2583,8.4388,,,,,,,,,,,408.601
2022-02-24,0.04823532,0.01483237,0.04513522,-0.04112564,-0.01875614,50.0311,-4.37471504,17.787015,-32.4275,23.4022,,,,,,,,,,,428.31
2022-02-25,-0.02496556,0.02206554,-0.02784813,0.00157809,-0.08699635,48.1251,-4.54156944,17.229371,1.4941,12.1255,,,,,,,,,,,417.617
2022-02-25,0.04796979,0.02180664,0.08721304,0.00153325,0.02098424,51.8278,-4.34653097,17.441416,-26.1686,26.7603,,,,,,,,,,,437.65
2022-02-28,-0.04821661,-0.00255976,-0.01303637,0.00552553,-0.07306066,47.9457,-4.26165278,16.731315,19.717,13.7958,,,,,,,,,,,416.548
2022-02-28,0.04787443,-0.00265052,0.06825485,0.00511203,0.03876231,51.6328,-3.92239424,17.080649,-18.6257,30.4742,,,,,,,,,,,436.49
2022-03-01,-0.06022131,-0.01522994,-0.04227312,0.00095409,-0.06860724,46.9156,-3.85191736,16.579174,30.1447,15.8716,,,,,,,,,,,410.204
2022-03-01,0.04808827,-0.01502898,0.02948395,0.00081475,0.0265073,50.5655,-3.63010602,17.319662,-22.3498,25.8094,,,,,,,,,,,429.93
2022-03-02,-0.02833019,0.01839573,-0.04547012,0.03777733,-0.04816697,48.3547,-3.51111994,16.781829,6.2088,11.0679,,,,,,,,,,,417.75
2022-03-02,0.04797127,0.01828205,0.05099532,0.03729416,0.02868301,52.068,-3.13509114,17.14527,-31.1443,25.4294,,,,,,,,,,,437.79
2022-03-03,-0.05052422,-0.00497666,-0.0476964,0.01730294,-0.06798134,47.9684,-2.9634152,16.44275,28.2634,6.6833,,,,,,,,,,,415.671
2022-03-03,0.04830503,-0.00465977,0.06227633,0.0173706,0.02274328,51.6871,-2.60172029,17.083554,-18.3145,22.7557,,,,,,,,,,,435.75
2022-03-04,-0.05383133,-0.00812662,-0.04102296,-0.01274852,-0.07698352,47.423,-2.50819868,16.425443,29.3567,6.6772,,,,,,,,,,,412.293
2022-03-04,0.04816235,-0.00826162,0.03447038,-0.01256712,0.03643284,51.1007,-2.26514195,16.756983,-17.7847,24.6214,,,,,,,,,,,432.15
2022-03-07,-0.07407382,-0.02947904,-0.08600242,-0.03939282,-0.08430821,45.5672,-2.44665501,16.484484,48.3447,3.6204,,,,,,,,,,,400.139
2022-03-07,0.04831071,-0.02934166,0.00913944,-0.03899287,0.01257909,49.1483,-2.57077376,17.569235,11.6917,17.8267,,,,,,,,,,,419.47
2022-03-08,-0.0533149,-0.00757987,-0.08868388,-0.03193045,-0.0855781,45.425,-3.00335759,17.177861,34.8736,-0.7088,,,,,,,,,,,397.106
2022-03-08,0.04835988,-0.00753332,0.00974307,-0.03167958,0.01585357,48.998,-3.29337073,18.100443,-25.9876,15.0267,,,,,,,,,,,416.31
2022-03-09,-0.0205568,0.02680896,-0.05645725,-0.02393297,-0.05081242,47.5054,-3.607852,17.750411,-2.678,4.0744,,,,,,,,,,,407.752
2022-03-09,0.04830878,0.02675891,0.06825378,-0.02361863,0.06187414,51.191,-3.59869067,18.035953,-39.5511,18.2661,,,,,,,,,,,427.45
2022-03-10,-0.05038952,-0.004515,-0.03232412,-0.02348011,-0.03823955,47.2819,-3.72259672,17.248385,29.9859,4.8859,,,,,,,,,,,405.911
2022-03-10,0.04821008,-0.00460873,0.07145195,-0.02356856,0.04130925,50.9469,-3.60271493,17.480929,-22.5715,21.2907,,,,,,,,,,,425.48
2022-03-11,-0.05812259,-0.01271461,-0.03737599,-0.02799708,-0.06434592,46.5433,-3.72265745,16.892291,38.3365,4.3814,,,,,,,,,,,400.75
2022-03-11,0.04820961,-0.01271505,0.03020954,-0.02795326,0.0058738,50.1672,-3.6699056,17.682842,-17.8402,20.7185,,,,,,,,,,,420.07
2022-03-14,-0.05296498,-0.0073088,-0.06931571,-0.00579299,-0.09100651,46.2765,-3.85828295,17.045496,32.3346,4.1897,,,,,,,,,,,397.821
2022-03-14,0.0480593,-0.00745114,0.02717098,-0.00603142,0.00094107,49.8741,-3.87409408,17.734318,-22.5079,17.089,,,,,,,,,,,416.94
2022-03-15,-0.02487408,0.02198979,-0.04444627,0.02382991,-0.06854911,47.9965,-3.9375486,17.174723,12.3698,3.6331,,,,,,,,,,,406.569
2022-03-15,0.04821076,0.02213748,0.06343107,0.02368427,0.0389221,51.6976,-3.70584171,17.395529,-55.177,19.685,,,,,,,,,,,426.17
2022-03-16,-0.02483751,0.02217582,-0.01067679,0.01921021,-0.0333659,49.6429,-3.46171095,16.930134,4.3026,7.4031,,,,,,,,,,,415.585
2022-03-16,0.04832946,0.02229157,0.09514078,0.01923032,0.04289647,53.4255,-2.8942565,17.155482,-44.4432,25.476,,,,,,,,,,,435.67
2022-03-17,-0.03416806,0.01251008,0.00921955,0.03664104,-0.03884511,50.4036,-2.38479677,16.492947,19.6206,12.4116,,,,,,,,,,,420.784
2022-03-17,0.04816248,0.0123488,0.08480971,0.03659396,0.0610555,54.2016,-1.6096261,16.762451,-26.0716,31.1533,,,,,,,,,,,441.05
2022-03-18,-0.03553112,0.01092009,-0.00185607,0.06145727,-0.02380034,50.9523,-0.95490167,16.110847,18.5416,17.2479,,,,,,,,,,,425.379
2022-03-18,0.04459788,0.00748214,0.06921568,0.05779989,0.07775296,54.5078,-0.10514472,16.350501,-21.1948,32.0832,,,,,,,,,,,444.35
2022-03-21,-0.04297513,-0.00029386,-0.023908,0.06895815,-0.01595742,50.5366,0.5178833,15.595465,23.1722,14.1461,,,,,,,,,,,425.254
2022-03-21,0.04499899,9.002e-05,0.05610004,0.06583681,0.11058907,54.1421,1.2702652,15.996218,-19.1328,29.2595,,,,,,,,,,,444.39
2022-03-22,-0.0318639,0.01170124,-0.02453237,0.05819676,0.02565142,51.1698,1.83547279,15.295774,13.6986,11.1857,,,,,,,,,,,430.23
2022-03-22,0.04504567,0.01174644,0.05696332,0.05500153,0.13221659,54.8252,2.55874719,15.65679,-19.8889,29.0441,,,,,,,,,,,449.61
2022-03-23,-0.05542581,-0.01287683,-0.0442444,0.02190888,0.02012923,49.6757,2.93976362,14.959876,29.1846,6.4355,,,,,,,,,,,424.69
2022-03-23,0.04499753,-0.01292231,0.04361158,0.01866091,0.08840668,53.2982,3.38447445,15.589171,-11.6806,24.0373,,,,,,,,,,,443.8
2022-03-24,-0.02863452,0.01507452,-0.02992417,0.02449713,0.00852029,50.6854,3.6353326,14.95423,8.5898,5.9729,,,,,,,,,,,431.092
2022-03-24,0.04483498,0.01491663,0.04692839,0.02124476,0.10965212,54.3509,4.05161854,15.268071,-26.8252,25.4552,,,,,,,,,,,450.42
2022-03-25,-0.03823764,0.00488295,-0.03650497,0.0183789,0.01813716,50.7322,4.26575165,14.502494,26.4662,5.5895,,,,,,,,,,,433.197
2022-03-25,0.04490567,0.00495093,0.06583626,0.01867897,0.12950717,54.4232,4.64259281,14.878245,-22.5376,25.0026,,,,,,,,,,,452.65
2022-03-28,-0.03616923,0.00711224,-0.01694908,0.02592333,0.03858405,50.9627,4.82987449,14.23337,33.6582,5.8779,,,,,,,,,,,436.278
2022-03-28,0.0448613,0.00706948,0.0574309,0.02578816,0.14586711,54.6732,5.18977791,14.616129,-29.17,28.2787,,,,,,,,,,,455.85
2022-03-29,-0.03109576,0.01237055,-0.01941521,0.02660205,0.05932508,51.6264,5.40102816,14.016406,25.8018,9.0046,,,,,,,,,,,441.675
2022-03-29,0.04508972,0.01259186,0.06554293,0.02664531,0.13533004,55.3879,5.81345355,14.470948,-25.9795,28.3775,,,,,,,,,,,461.59
2022-03-30,-0.04905219,-0.00617422,-0.03027063,0.03357272,0.02998334,50.5729,5.95586168,13.803381,43.982,5.7934,,,,,,,,,,,438.948
2022-03-30,0.04483902,-0.00641262,0.05123339,0.03341595,0.10357689,54.2926,6.22200316,14.405782,-24.3064,26.1854,,,,,,,,,,,458.63
2022-03-31,-0.0576456,-0.01539134,-0.05189865,0.00255166,-0.00798311,48.9624,6.11576267,13.919655,66.1947,2.8573,,,,,,,,,,,432.192
2022-03-31,0.04536873,-0.01489218,0.0229241,0.00306381,0.07371003,52.6735,6.08058481,14.820965,-23.199,21.1707,,,,,,,,,,,451.8
2022-04-01,-0.04068836,0.00283439,-0.06103468,0.00050785,-0.01730643,49.071,5.7846428,14.070896,31.6064,2.4443,,,,,,,,,,,433.417
2022-04-01,0.04502131,0.00250111,0.03185343,0.00061858,0.06476812,52.7639,5.63890678,14.495332,-35.6927,21.3507,,,,,,,,,,,452.93
2022-04-04,-0.03488398,0.00856681,-0.04687875,0.00195288,-0.01624845,49.6261,5.33002472,13.792094,26.3702,1.2341,,,,,,,,,,,437.13
2022-04-04,0.04479217,0.00834566,0.05672942,0.00188659,0.07396991,53.3301,5.23531725,14.214087,-39.5127,22.1935,,,,,,,,,,,456.71
2022-04-05,-0.05496267,-0.0126324,-0.04469234,-0.02279278,-0.02876302,48.415,4.86739488,13.770938,87.896,-0.0551,,,,,,,,,,,431.608
2022-04-05,0.04546255,-0.01199886,0.04109899,-0.02244416,0.0488111,52.1291,4.64947757,14.658871,-31.7602,20.948,,,,,,,,,,,451.23
2022-04-06,-0.05305055,-0.00999981,-0.05660477,-0.0265544,-0.04963858,47.6242,4.14449022,14.166095,22.1549,1.0375,,,,,,,,,,,427.292
2022-04-06,0.04528051,-0.0101722,0.02175554,-0.02614308,0.05168476,51.2883,3.7852851,14.699802,-34.9669,20.1534,,,,,,,,,,,446.64
2022-04-07,-0.03849633,0.00504105,-0.05969653,-0.00635366,-0.0323434,48.0699,3.25333592,14.161245,26.994,1.9295,,,,,,,,,,,429.446
2022-04-07,0.04485779,0.00463461,0.03962392,-0.00683931,0.04086831,51.725,2.94093064,14.665013,-39.1804,19.8749,,,,,,,,,,,448.71
2022-04-08,-0.04549263,-0.00267554,-0.05082331,-0.0118131,-0.04911638,47.8794,2.45012754,13.952512,41.8017,0.1157,,,,,,,,,,,428.297
